,media_id,media_type,is_reel,permalink,timestamp,caption,status,metrics_used,metrics_dropped,views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time,profile_activity,profile_visits
0,18071586206348174,VIDEO,True,https://www.instagram.com/reel/DRZFycCDeCe/,2025-11-23T08:29:17+0000,"🗓️ 𝗣𝗿𝗼́𝘅𝗶𝗺𝗼 𝗺𝗶𝗲́𝗿𝗰𝗼𝗹𝗲𝘀 𝟮𝟲 𝗱𝗲 𝗻𝗼𝘃𝗶𝗲𝗺𝗯𝗿𝗲 
🕢 A las 𝟭𝟭 𝗔𝗠

Participa en nuestra 𝘄𝗲𝗯𝗶𝗻𝗮𝗿 𝗴𝗿𝗮𝘁𝘂𝗶𝘁𝗮 donde compartiremos algunas claves para mejorar la circulación de tu obra y consejos sobre cómo sacar partido a los recursos de enGira!.

Además, daremos información sobre nuestros nuevos programas de 𝗮𝗰𝗼𝗺𝗽𝗮𝗻̃𝗮𝗺𝗶𝗲𝗻𝘁𝗼 𝗽𝗿𝗼𝗳𝗲𝘀𝗶𝗼𝗻𝗮𝗹 que lanzaremos a partir de enero. 

📝 𝗛𝗮𝘇 𝗲𝗹 𝗿𝗲𝗴𝗶𝘀𝘁𝗿𝗼 en el enlace que encontrarás en RECURSOS de nuestras 𝗦𝘁𝗼𝗿𝗶𝗲𝘀 𝗱𝗲𝘀𝘁𝗮𝗰𝗮𝗱𝗮𝘀.

¡Te esperamos!

#artesvivas #teatro #creacioncontemporanea #danza #performance #artesescenicas #circo #distribucion #movilidadartistas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,1724,1031,39,10,15,12,77,8178.0,9323287.0,,
1,17924873466153742,VIDEO,True,https://www.instagram.com/reel/DP30BFgDXFU/,2025-10-16T13:49:33+0000,"Acércate a nuestro stand 241 en @mercartes_es y conoce de cerca nuestra plataforma para la promoción y la movilidad de artes vivas. 

Con el apoyo de @culturagob y la colaboración de @fundacionsgae 

#mercartes2025 #artesvivas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,1844,1086,42,2,2,13,59,5467.0,7101837.0,,
2,18134337274395559,IMAGE,False,https://www.instagram.com/p/DHZpx0Bt3I9/,2025-03-20T00:20:32+0000,"Pasé por dFeria. Fui con ganas de hablar de la plataforma enGira, de la creación contemporánea, de encontrar cómplices para seguir tejiendo redes. Hice todo eso con mesura, sin la ansiedad que suelen provocar las ferias y los mercados. Y encontré algún que otro faro en medio del Cantábrico. También caras amigas y queridas, algunas visitando la feria por primera vez. Agradecida al equipo de @donostiakultura por la acogida y la increíble organización.",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1011,213,22,1,0,0,23,,,0.0,6.0
3,18052603295141608,IMAGE,False,https://www.instagram.com/p/DG5huktNbjs/,2025-03-07T12:54:29+0000,"📢¡Atención programadorxs!

Con la 𝗯ú𝘀𝗾𝘂𝗲𝗱𝗮 𝗮𝘃𝗮𝗻𝘇𝗮𝗱𝗮 de enGira! podrás utilizar filtros específicos para encontrar espectáculos acordes a tus intereses.

El registro en la plataforma es gratuito. Consulta las preguntas frecuentes en el enlace de la bio.

#diainternacionaldelamujer #teatro #artesvivas #8m #perspectivafeminista",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1014,247,17,0,6,0,23,,,4.0,7.0
4,18087265219605722,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DGfTzm8th8l/,2025-02-25T08:32:35+0000,"📢¡Atención programadores!

𝟭, 𝟮, 𝟯... ¡𝗽𝗲𝗿𝗳𝗼𝗿𝗺𝗮! es una experiencia interactiva e inmersiva en la que los niños se convierten en artistas y accionadores de esculturas móviles junto a Elisa Miravalles. Se trata de una actividad innovadora que propone generar un jardín escultórico cuya principal característica es la movilidad y el dinamismo con sistemas de manipulación y construcción de objetos. Los participantes jugarán con elementos como el dibujo, el volumen o la improvisación, a los que se añadirán principios básicos del arte de acción, como el cuerpo, el tiempo o el espacio, en una experiencia que potencia la creatividad y la imaginación.

¡Contacta con la artista a través de la plataforma! Link en bio.

#artesvivas #publicoinfantil",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,865,132,3,0,0,0,3,,,0.0,1.0
5,18041983403376166,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DF9utpNNWAd/,2025-02-12T07:33:31+0000,"𝗚𝘆𝗺𝗸𝗵𝗮𝗻𝗮 es una pieza escénica participativa acerca de los cuidados que te invita a escuchar, a jugar y a transformarte mediante experiencias introspectivas y extrospectivas, visibles y privadas. Daremos un paseo, real e imaginario, a través del tiempo y del espacio, hacia tu infancia y tu vejez, y hacia lugares y vidas paralelas. 

Contacta con la artista a través de enGira!

#mediacionartistica #artesvivas #artesescenicas #contrataciondeartistas",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,3773,1390,33,0,3,7,43,,,5.0,10.0
6,18056909753018490,VIDEO,True,https://www.instagram.com/reel/DFzrW_YOUcT/,2025-02-08T09:53:54+0000,"🔊Atención programadores!! En esta demo os contamos el funcionamiento de las herramientas inteligentes de enGira! diseñadas para facilitar la programación de espectáculos contemporáneos. 

Podéis ver el vídeo completo en el enlace de la bio.

enGira! es una plataforma para la promoción de artistas contemporáneos desarrollada con el apoyo de @culturagob en colaboración con @fundacionsgae 

#reddeteatros #artesescenicas #teatro #artesvivas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,474,250,9,0,1,1,11,8325.0,2664310.0,,
7,18342420145146591,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DFXZswmNz2O/,2025-01-28T10:18:46+0000,"ᴛʜᴇ ᴍɪʀᴀᴄʟᴇ ᴡᴏʀᴋᴇʀ es una pieza que indaga entre los límites de la realidad y la ficción, teniendo en su eje central la idea de soledad extrema, de las soledades elegidas e impuestas y de la violencia creciente del sistema en el que vivimos.
Mediante el uso del vídeo en directo como elemento narrativo fundamental y experimentando con la imagen y otros modos de generar presencias en escena, nos invitan a compartir una experiencia entre los límites del cine, el teatro y un concierto.
La obra se despliega como una revista de variedades en la que, a través de diferentes técnicas y estilos escénicos, se construye un imaginario con el que repensar las formas de habitar nuestras vidas.

#artesvivas #nuevasteatralidades #sonoridades #teatr #theatre",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,6759,1749,125,6,1,6,138,,,2.0,25.0
8,18019505753423446,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DFLCbjItIU2/,2025-01-23T15:04:33+0000,"En algún rincón del Universo, una pastora incorpórea encuentra el Voyager Golden Record, lo escucha y decide visitar la Tierra. En una escala en Gante, entra en la catedral San Bavón para contemplar el retablo del Cordero místico. Se queda pasmada. Se acaba de enamorar sin remedio de aquel cordero.

Tomando como punto de partida las líricas y los folclores pastoriles del Mediterráneo, se entrega al espectador una historia de amor interespecies digna de las mitologías grecolatinas.

#teatro #artesvivas #dramapastoril #folklore #sonoridades #cienciaficción",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,3647,1902,70,5,6,6,87,,,3.0,20.0
9,18299351407229080,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DE5SCKQNZRx/,2025-01-16T17:34:34+0000,"𝗟𝗮 𝗖𝗢𝗦𝗔 lleva desde 2007 llevando la cultura al espacio público, generando espacios innovadores de convivencia y creación comunitaria, y llevando a cabo experimentos sonoros colectivos. 𝗟𝗮 𝗖𝗢𝗦𝗔 está dotada de todo tipo de instrumentos musicales con los que se graban canciones comunitarias y se realizan experimentos sonoros. 𝗟𝗮 𝗖𝗢𝗦𝗔 cuenta ya con un enorme archivo de discos, vídeos y fotos a partir de su paso por ciudades, pueblos e instituciones de toda España: desde Matadero Madrid, MACBA, festivales como Cuéntalo de Logroño, barrios de ciudades como Madrid, Oviedo, Barcelona, entre otros y pueblos de la España rural. 𝗟𝗮 𝗖𝗢𝗦𝗔 graba canciones, podcasts, memorias, y recursos que ponen en valor la creatividad. 

#sonoridades #arteurbano #teatrocomunitario #artesvivas #mediacionartistica",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,2232,1110,101,1,4,1,107,,,0.0,7.0
10,18070617079666685,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DEw3ooHNfD0/,2025-01-13T11:09:58+0000,"En 𝙎𝙞𝙢𝙪𝙡𝙖𝙘𝙧𝙤 dos personas simulan situaciones cotidianas, crean su propia ficción, una que responda a sus deseos y que encaje en su pequeño mundo de simulacros donde la vida sucede de manera controlada, a una escala hecha a la medida de sus necesidades. 

Tratan de imitar la vida, la capturan en el interior de una cámara de vídeo con el propósito de sentir o entender algo, y así estar preparados para lo que pueda venir en el futuro. Pero es como si a base de artificios y falsificaciones se hubieran olvidado de cómo conseguir que las cosas sucedan de verdad.

#DESTACADOSenGira! #artesvivas #teatro #creacioncontemporanea #candidatospremiosmax",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1255,529,53,1,0,0,54,,,6.0,12.0
11,18045000449186599,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DEkIgbrtNYz/,2025-01-08T12:27:16+0000,"DIOS Y LA CARNE SE CASAN. En Ágape se celebra un amor irresistible entre lo patético y lo milagroso. Vicio y virtud son invitados de honor. Cuerpos, voces y cuerdas tensas se sumergen en juegos simbólicos y ritos de paso, escudriñando entre lo puro y lo impuro, lo glorioso y la purga. Esta obra abre una conversación cara a cara con el inconsciente para expiar los legados desfasados y heredar las auténticas perlas. A base de sacudidas, muertes y sueños, se parirán las nuevas realidades.

#artesvivas #creacioncontemporanea #danza #raiz",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,2388,1269,47,4,1,1,53,,,4.0,15.0
12,17894983158037128,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DDraS_DK8K6/,2024-12-17T11:46:00+0000,"Besha se define como activista, feminista, antirracista, militante y “bakongo” (persona que cree que el mundo es multidimensional). Besha accede a ponerse el traje de Besha niña, Besha adulta y Besha bruja para interpretar algunos momentos de su vida como mujer-migrante-racializada-pobre. Momentos en los que ha tenido que hacer frente a toda una serie de violencias estructurales que afectaron a su cuerpo y a su salud mental. Besha es originaria de la República Democrática del Congo y sabe que todas las formas de represión y sumisión contra las mujeres de África vienen de una historia de colonialismo y neocolonialismo, que no se ha superado y que ha dejado una herida abierta difícil de sanar. Sabe que descolonizar es una tarea urgente del presente.

#teatro #teatropolitico #creacioncontemporanea #negritud #descolonización",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1284,439,35,2,1,0,38,,,0.0,4.0
13,18046028705510788,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DDee_X6KhCk/,2024-12-12T11:16:53+0000,"𝗦𝗽𝗼𝗼𝗸𝘆 es una lucha contra el individuo o una performance en la que 2 performers crean un dispositivo escénico a partir de los códigos del cine de suspense y del cine trash. Los medios y estética «handmade» intervienen directamente en el espacio creando una trama fragmentada. La relación entre la técnica y la performance genera una sensación de incertidumbre que dialoga con el público y plantea grietas entre la realidad y la ficción. 

El espacio teatral se representa como metáfora de un cerebro, a este llegan la información, patrones y proyecciones que las creencias sobre el individuo levantan sobre nosotros mismos.

#artes vivas #creacioncontemporanea #terror #teatro",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,730,261,9,0,1,0,10,,,3.0,13.0
14,18060032704881412,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DDWxYU2qalx/,2024-12-09T11:23:40+0000,"𝗛𝗮𝗰𝗲𝗿 𝘁𝗼𝗿𝗿𝗶𝗷𝗮𝘀 𝗰𝗼𝗺𝗼 𝗮𝗰𝘁𝗼 𝗱𝗲 𝗿𝗲𝘀𝗶𝘀𝘁𝗲𝗻𝗰𝗶𝗮 explora la tensión entre pertenencia y exclusión, el conflicto entre lo heredado y lo deseado, el diálogo entre el pasado y el futuro. La pieza surge de una necesidad de reconectar con las raíces no desde la nostalgia, sino desde el potencial subversivo de la tradición, navegando entre la celebración y el duelo. Durante 50 minutos, a través de las herramientas de la danza-teatro, un cuerpo escarba en la tierra para rescatar sus herencias, sus sombras y sus vacíos, reescribiendo las historias de quienes fueron silenciados, entrelazando lo individual y lo colectivo, lo privado y lo político. Así, la tradición deja de ser una práctica que conserva lo inmutable y, al transformarse en un acto crítico que desafía las nociones hegemónicas de lo que significa pertenecer, la resistencia puede activarse para generar otras formas de comunidad y de conexión, vinculando lo que nos ha sido legado y lo que está por venir.

#danzateatro #danza #teatro #raiz #tradicion",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,2320,1164,114,5,4,3,126,,,0.0,28.0
15,18149997055350054,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DDJ3BcfqJA_/,2024-12-04T11:02:50+0000,"𝗲𝗹 𝗲𝘀𝗳𝘂𝗲𝗿𝘇𝗼 𝗰𝗼𝗻𝘀𝘁𝗮𝗻𝘁𝗲 𝗱𝗲 𝗴𝗮𝗻𝗮𝗿𝘀𝗲 𝗹𝗮 𝘃𝗶𝗱𝗮 es una performance donde trato de trabajar lo mínimo, lo justo y lo que yo entiendo por razonable. Os voy a contar lo que pienso de la disciplina, del trabajo del bailarín y del secuestro de nuestro tiempo. Os voy a contar cómo se siente al repetir durante ocho horas al día la misma acción en una fábrica o cómo se queda el cuerpo al bailar el mismo espectáculo durante cinco años. Y para acabar os voy a contar unos chistes, os dejo uno como ejemplo.
Todos seríamos más felices si trabajásemos de lo que nos gusta. En mi caso es muy difícil encontrar trabajo de macarrones con queso.

#performance #artesvivas #creacioncontemporanea #teatro #humor",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,2376,1110,139,2,5,2,148,,,4.0,17.0
16,18047818307315513,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DDCOxNYqlQi/,2024-12-01T11:56:25+0000,"[𝐞𝐬𝐭𝐮𝐝𝐢𝐨 𝐩𝐚𝐫𝐚 𝐜𝐮𝐞𝐫𝐧𝐨 𝐲 𝐜𝐮𝐞𝐫𝐩𝐨] es un paisaje polifónico y visual que gira en torno al rito, a lo remoto, al hueso, a lo animal. Un bestiario que transita, de manera elástica y desjerarquizada, entre imágenes reconocibles y cuerpos por descubrir. Una experiencia contemplativa y emocional que dialoga entre contrastes, lo bello y lo feo, lo blando y lo duro, lo divino y lo profano, lo caótico y lo direccional, lo articulado y lo estático… Un cuerpo que transmuta en danza, otro, que se despliega en voces poliédricas. El asta de un animal salvaje. Un tiempo suspendido, casi escultórico, en el que el espectador es invitado a construir su propia narrativa a partir de lo evocado.

𝐏𝐫ó𝐱𝐢𝐦𝐚𝐬 𝐟𝐞𝐜𝐡𝐚𝐬

𝗟𝘂𝗻𝗲𝘀 𝟮 𝗱𝗲 𝗱𝗶𝗰𝗶𝗲𝗺𝗯𝗿𝗲 | 𝟮𝟬.𝟯𝟬 @ateneoalbeitar 

𝟭𝟮 𝗱𝗲 𝗺𝗮𝗿𝘇𝗼 | 𝟮𝟬𝟮𝟱 @museocerralbo",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1531,668,79,4,0,2,85,,,1.0,6.0
17,18051177718956112,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DC6bzInqK3E/,2024-11-28T11:16:21+0000,"𝗗𝗲𝘀𝗯𝗼𝗿𝗱𝗲𝘀 es catártico, abyecto y festivo: dice en el fondo que nuestro romanticismo residual es una borrachera de desasosiego, un carnaval anímico que no sabe terminar: se agarra a cualquier cosa y lo recicla rigurosamente todo. El proyecto indaga en la necesidad humana de evasión y la producción de identidades alternas como vía de escape a los límites cotidianos y la condición de vacío humano. A través del exceso, la artificialidad y la indulgencia sus personajes chocan con una realidad que no son capaces de contener, en una constante búsqueda de fantasía e irrealidad. 

𝗣𝗿𝗲𝗺𝗶𝘀 𝗕𝗮𝗿𝗰𝗲𝗹𝗼𝗻𝗮 𝟮𝟬𝟮𝟮

#artesvivas #creacioncontemporanea #danza #artecontemporaneo",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1862,710,45,2,0,1,48,,,2.0,6.0
18,18138048727365362,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DC1QTfuKIC8/,2024-11-26T10:59:42+0000,"La máquina de mirar era el nombre que recibían aquellos objetos del S. XIX que a través de espejos y obturadores creaban ilusiones. En la pieza 𝙏𝙝𝙚 𝙬𝙖𝙩𝙘𝙝𝙞𝙣𝙜 𝙢𝙖𝙘𝙝𝙞𝙣𝙚 imaginamos que la máquina generadora de ilusión es la propia caja escénica. En ella jugamos con la luz, las sombras y los reflejos para experimentar qué es ilusión, qué es representación y qué es convención teatral. 
𝗨𝗻𝗮 𝗽𝗶𝗲𝘇𝗮 𝗽𝗮𝗿𝗮 𝘁𝗼𝗱𝗼𝘀 𝗹𝗼𝘀 𝗽𝘂́𝗯𝗹𝗶𝗰𝗼𝘀.

𝗣𝗿𝗲𝗺𝗶𝗼 𝗙𝗶𝗿𝗮 𝗱𝗲 𝗧𝗶𝘁𝗲𝗹𝗹𝗲𝘀 𝗱𝗲 𝗟𝗹𝗲𝗶𝗱𝗮 𝟮𝟬𝟮𝟮 “𝗘𝘀𝗽𝗲𝗰𝘁á𝗰𝘂𝗹𝗼 𝗺á𝘀 𝗶𝗻𝗻𝗼𝘃𝗮𝗱𝗼𝗿” 
𝗣𝗿𝗲𝗺𝗶𝗼 𝗙𝗘𝗧𝗘𝗡 𝟮𝟬𝟮𝟯 “𝗡𝘂𝗲𝘃𝗼𝘀 𝗹𝗲𝗻𝗴𝘂𝗮𝗷𝗲𝘀” 
𝗣𝗿𝗲𝗺𝗶𝗼 𝗣𝗨𝗙 𝗙𝗲𝘀𝘁𝗶𝘃𝗮𝗹 𝗣𝘂𝗹𝗮 𝗖𝗿𝗼𝗮𝗰𝗶𝗮 “𝟮º 𝗗𝗥𝗢𝗣”

#teatro #todoslospublicos #artesvivas #creacioncontemporanea",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,3550,1349,105,3,8,3,119,,,2.0,16.0
19,18034100234347263,IMAGE,False,https://www.instagram.com/p/DCty1SMq3g1/,2024-11-23T13:27:29+0000,,200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,292,146,2,0,0,0,2,,,2.0,11.0
20,17928976457973536,IMAGE,False,https://www.instagram.com/p/DCtyybaKkTN/,2024-11-23T13:27:06+0000,,200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,240,107,2,0,0,0,2,,,0.0,3.0
21,18466541014054414,IMAGE,False,https://www.instagram.com/p/DCtyvItKWpH/,2024-11-23T13:26:39+0000,,200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,251,115,2,0,0,0,2,,,0.0,9.0
22,18048381526859771,VIDEO,True,https://www.instagram.com/reel/DCl7mgiuu5M/,2024-11-20T12:10:42+0000,"Los pasados 12 y 13 de noviembre se celebraron las 𝙅𝙤𝙧𝙣𝙖𝙙𝙖𝙨 𝙙𝙚 𝙄𝙣𝙩𝙚𝙧𝙣𝙖𝙘𝙞𝙤𝙣𝙖𝙡𝙞𝙯𝙖𝙘𝙞𝙤́𝙣 𝙮 𝙈𝙤𝙫𝙞𝙡𝙞𝙙𝙖𝙙 𝙙𝙚 𝘼𝙧𝙩𝙞𝙨𝙩𝙖𝙨 impulsadas desde enGira! en colaboración con Réplika Teatro. 

Fueron dos mañanas muy intensas enfocadas en presentar la plataforma y sobre todo en generar encuentro y reflexión en torno a la creación contemporánea.

¡Gracias a todxs lxs participantes por hacerlas posibles!

Video de @evaviera.tv",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,2876,1686,82,6,3,12,103,9847.0,19626838.0,,
23,18010081304580646,CAROUSEL_ALBUM,False,https://www.instagram.com/p/C8t_QTcK83l/,2024-06-27T12:07:40+0000,"🔊OPEN CALL🔊

Hacemos un llamamiento a artistas escénicos vinculados a las artes vivas para formar parte de nuestra plataforma de promoción y difusión artística. Lee las bases en el enlace de la bio.

#artesescenicas #teatro #danza #circo #performance #artesvivas #distribucion #artistas #programadores #creacioncontemporanea #nuevoslenguajes",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,0,3996,274,14,132,7,427,,,170.0,242.0
